Label,P1:string,P2:string,P3:url,P4:string,P5:time,P6:time,P7:string,P8:string,P9:string,P10:string,P11:string
Antonio Buero Vallejo,Antonio Buero Vallejo,España,http://commons.wikimedia.org/wiki/Special:FilePath/%22Retrat%20de%20l%27escriptor%20Antonio%20Buero%20Vallejo%20%281916-2000%29.png,Guadalajara,+1916-09-29T00:00:00Z,+2000-04-28T00:00:00Z,"Poesía, Dramaturgia","Simbolismo","En la ardiente oscuridad, Historia de una escalera","Premio Miguel de Cervantes, Premio Nacional de Teatro, Premio Nacional de las Letras Españolas, Medalla de Oro al Mérito en las Bellas Artes, Premio Lope de Vega de Teatro",4538
Antonio Casero,Antonio Casero,España,http://commons.wikimedia.org/wiki/Special:FilePath/Antonio%20Casero.jpg,Madrid,+1874-01-01T00:00:00Z,+1936-03-01T00:00:00Z,"Poesía, Dramaturgia",,,,7223
Antonio Cavanilles y Centi,Antonio Cavanilles y Centi,España,http://commons.wikimedia.org/wiki/Special:FilePath/Mart%C3%ADnez%20aparici-cavanilles.jpg,La Coruña,+1805-01-31T00:00:00Z,+1864-01-02T00:00:00Z,,,,,66713
Antonio Cisneros,Antonio Cisneros,Perú,http://commons.wikimedia.org/wiki/Special:FilePath/Antoniocisneros.jpg,Lima,+1942-12-27T00:00:00Z,+2012-10-06T00:00:00Z,,"Generación del 60",,"Premio José Donoso, caballero de las Artes y las Letras",41939
Antonio Enríquez Gómez,Antonio Enríquez Gómez,España,http://commons.wikimedia.org/wiki/Special:FilePath/Michel%20lasne-antonio%20henr%C3%ADquez%20g%C3%B3mez-Academias%20morales%20de%20las%20musas.jpg,Cuenca,+1600-01-01T00:00:00Z,+1663-01-01T00:00:00Z,,,,,57659
Antonio Fernández Grilo,Antonio Fernández Grilo,España,http://commons.wikimedia.org/wiki/Special:FilePath/Bartolome%20maura-Retrato%20de%20Antonio%20Fern%C3%A1ndez%20Grilo.jpg,Córdoba,+1845-01-13T00:00:00Z,+1906-07-09T00:00:00Z,"Poesía",,,"Gran Cruz de la Orden Civil de Alfonso XII",2638
Antonio Ferrer del Río,Antonio Ferrer del Río,España,http://commons.wikimedia.org/wiki/Special:FilePath/Antonio%20Ferrer%20del%20R%C3%ADo%2C%20de%20Perea.jpg,Madrid,+1814-06-12T00:00:00Z,+1872-08-22T00:00:00Z,,"Romanticismo",,,156
Antonio Fontán,Antonio Fontán,España,http://commons.wikimedia.org/wiki/Special:FilePath/Antonio%20Fontan%20press%20freedom%20hero.JPG,Sevilla,+1923-10-15T00:00:00Z,+2010-01-14T00:00:00Z,,,,"doctor honoris causa, Gran Cruz de la Orden de Carlos III, Gran Cruz de la Orden Civil de Alfonso X el Sabio, Collar de la Orden del Mérito Civil",45727
Antonio García Cubas,Antonio García Cubas,México,http://commons.wikimedia.org/wiki/Special:FilePath/Antonio%20Garc%C3%ADa%20Cubas.jpg,Ciudad de México,+1832-07-24T00:00:00Z,+1912-02-09T00:00:00Z,,,,,6122
Antonio García Gutiérrez,Antonio García Gutiérrez,España,http://commons.wikimedia.org/wiki/Special:FilePath/Museo%20Arqueol%C3%B3gico%20Nacional%20-%20FD01107%20-%20Antonio%20Garc%C3%ADa%20Guti%C3%A9rrez.jpg,Chiclana de la Frontera,+1813-10-05T00:00:00Z,+1884-08-26T00:00:00Z,"Poesía","Romanticismo",,,244
Antonio Gaztañeta,Antonio Gaztañeta,España,http://commons.wikimedia.org/wiki/Special:FilePath/Antonio%20Gazta%C3%B1eta.jpg,Motrico,+1656-08-11T00:00:00Z,+1728-02-05T00:00:00Z,,,,,32699
Antonio Gil de Zárate,Antonio Gil de Zárate,España,http://commons.wikimedia.org/wiki/Special:FilePath/Antonio%20Gil%20y%20Z%C3%A1rate.jpg,Madrid,+1793-12-01T00:00:00Z,+1861-01-27T00:00:00Z,,"Romanticismo",,,2796
Antonio Joaquín Afán de Ribera,Antonio Joaquín Afán de Ribera,España,http://commons.wikimedia.org/wiki/Special:FilePath/Antonio%20Joaqu%C3%ADn%20Af%C3%A1n%20de%20Ribera.jpg,Granada,+1834-02-07T00:00:00Z,+1906-09-05T00:00:00Z,"Poesía, Cuento",,,"Orden de Alfonso XII, Gran Cruz de la Orden de Isabel la Católica, Encomienda de la Orden de Carlos III",27949
Antonio José de Irisarri,Antonio José de Irisarri,Guatemala,http://commons.wikimedia.org/wiki/Special:FilePath/Antonio%20Jos%C3%A9%20de%20Irisarri.jpg,Ciudad de Guatemala,+1786-02-07T00:00:00Z,+1868-06-10T00:00:00Z,,,,,784
Antonio Juan Bastinos,Antonio Juan Bastinos,España,http://commons.wikimedia.org/wiki/Special:FilePath/Antoni%20Joan%20Bastinos.jpg,Barcelona,+1838-01-01T00:00:00Z,+1927-01-01T00:00:00Z,,,,,8018
Antonio Lussich,Antonio Lussich,Uruguay,http://commons.wikimedia.org/wiki/Special:FilePath/Antonio%20Lussich.jpg,Montevideo,+1848-03-23T00:00:00Z,+1928-06-05T00:00:00Z,"Poesía, Literatura gauchesca",,,,3273
Antonio López Ferreiro,Antonio López Ferreiro,España,http://commons.wikimedia.org/wiki/Special:FilePath/Antonio%20L%C3%B3pez%20Ferreiro.jpg,Santiago de Compostela,+1837-11-09T00:00:00Z,+1910-03-20T00:00:00Z,,,,,75198
Antonio Machado,Antonio Machado,España,http://commons.wikimedia.org/wiki/Special:FilePath/AntonioMachado.JPG,Sevilla,+1875-07-26T00:00:00Z,+1939-02-22T00:00:00Z,"Poesía, Ensayo, Dramaturgia","Generación del 98","Campos de Castilla, Juan de Mairena (sentencias, donaires, apuntes y recuerdos de un profesor apócrifo), Soledades. Galerías. Otros poemas","Hijo Adoptivo de Soria",4129
Antonio Machado Álvarez,Antonio Machado Álvarez,España,http://commons.wikimedia.org/wiki/Special:FilePath/DemofiloyAnaRuiz%20%28cropped%29.jpg,Santiago de Compostela,+1848-01-01T00:00:00Z,+1893-02-04T00:00:00Z,,,,,72294
Antonio Mira de Amescua,Antonio Mira de Amescua,España,http://commons.wikimedia.org/wiki/Special:FilePath/Mira%20de%20amescua.jpg,Guadix,+1577-01-17T00:00:00Z,+1636-01-01T00:00:00Z,,,,,100
Antonio Pagés Larraya,Antonio Pagés Larraya,Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/Antonio%20P%20Larraya.jpg,General Alvear,+1918-12-18T00:00:00Z,+2005-10-13T00:00:00Z,,,,,41370
Antonio Palomino,Antonio Palomino,España,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20Antonio%20Palomino.jpeg,Bujalance,+1655-12-01T00:00:00Z,+1726-08-12T00:00:00Z,,"Barroco",,,13263
Antonio Plaza,Antonio Plaza,México,http://commons.wikimedia.org/wiki/Special:FilePath/Antonio%20plaza%202.jpg,Apaseo el Grande,+1830-06-02T00:00:00Z,+1882-08-26T00:00:00Z,,,"Album del corazón",,10153
Antonio Remón Zarco del Valle y Huet,Antonio Remón Zarco del Valle y Huet,España,http://commons.wikimedia.org/wiki/Special:FilePath/Antonio%20Rem%C3%B3n%20Zarco%20del%20Valle%20y%20Huet.jpg,La Habana,+1785-05-30T00:00:00Z,+1866-04-20T00:00:00Z,,,,"Orden del Toisón de Oro, Gran Cruz de la Orden de Carlos III",12843
Antonio Ribot y Fontseré,Antonio Ribot y Fontseré,España,http://commons.wikimedia.org/wiki/Special:FilePath/Francisco%20perez-Retrato%20de%20Antonio%20Ribot%20y%20Fontser%C3%A9.jpg,Barcelona,+1813-01-01T00:00:00Z,+1871-01-01T00:00:00Z,,,,,59261
Antonio Ros de Olano,Antonio Ros de Olano,España,http://commons.wikimedia.org/wiki/Special:FilePath/Antonio%20Ros%20de%20Olano%20%28Museo%20del%20Prado%29.jpg,Caracas,+1808-12-09T00:00:00Z,+1886-07-24T00:00:00Z,,"Romanticismo",,"Gran Cruz de la Orden de Carlos III, Gran Cruz de la Orden de San Hermenegildo, Gran Cruz Laureada de San Fernando",2482
Antonio Rotondo,Antonio Rotondo,España,http://commons.wikimedia.org/wiki/Special:FilePath/Antonio%20Rotondo%2020180709.png,Madrid,+1808-01-01T00:00:00Z,+1879-01-01T00:00:00Z,,,,,74067
Antonio Sánchez Moguel,Antonio Sánchez Moguel,España,http://commons.wikimedia.org/wiki/Special:FilePath/Antonio%20S%C3%A1nchez%20Moguel.jpg,Medina Sidonia,+1847-06-04T00:00:00Z,+1913-02-15T00:00:00Z,,,,,7653
Antonio Zozaya,Antonio Zozaya,España,http://commons.wikimedia.org/wiki/Special:FilePath/Antonio%20Zozaya.png,Madrid,+1859-06-03T00:00:00Z,+1943-01-01T00:00:00Z,"Novela",,,,73314
Antonio de Bofarull,Antonio de Bofarull,España,http://commons.wikimedia.org/wiki/Special:FilePath/Antoni%20de%20Bofarull%20i%20de%20Broc%C3%A0.jpg,Reus,+1821-11-03T00:00:00Z,+1892-02-12T00:00:00Z,"Novela","Romanticismo, Renaixença",,,3518
Antonio de Herrera y Tordesillas,Antonio de Herrera y Tordesillas,España,http://commons.wikimedia.org/wiki/Special:FilePath/AntonioHerreraCuellar.jpg,Cuéllar,+1549-01-01T00:00:00Z,+1626-03-28T00:00:00Z,,,,,7787
Antonio de Hoyos y Vinent,Antonio de Hoyos y Vinent,España,http://commons.wikimedia.org/wiki/Special:FilePath/Antonio%20de%20Hoyos%20y%20Vinent.png,Madrid,+1884-05-02T00:00:00Z,+1940-06-11T00:00:00Z,,,"La torería",,2856
Antonio de Nebrija,Antonio de Nebrija,España,http://commons.wikimedia.org/wiki/Special:FilePath/Retrato%20de%20Antonio%20de%20Nebrija%20%28fondo%20blanco%29.jpg,Lebrija,+1441-01-01T00:00:00Z,+1522-07-05T00:00:00Z,,"Humanismo","Biblia políglota complutense, Gramática castellana",,530
Antonio de San Martín,Antonio de San Martín,España,http://commons.wikimedia.org/wiki/Special:FilePath/1883-07-22%2C%20Madrid%20C%C3%B3mico%2C%20de%20Cilla%2C%20Antonio%20de%20San%20Mart%C3%ADn%20%28cropped%29.jpg,La Coruña,+1841-06-13T00:00:00Z,+1887-08-04T00:00:00Z,"Novela",,,,6320
Antonio de Solís y Rivadeneyra,Antonio de Solís y Rivadeneyra,España,http://commons.wikimedia.org/wiki/Special:FilePath/Antoniosolis.jpg,Alcalá de Henares,+1610-07-18T00:00:00Z,+1686-04-19T00:00:00Z,,,,,237
Antonio de Trueba,Antonio de Trueba,España,http://commons.wikimedia.org/wiki/Special:FilePath/Antonio%20Trueba.jpg,Galdames,+1819-12-24T00:00:00Z,+1889-03-10T00:00:00Z,"Poesía, Novela, Cuento, Povest","Euskal Pizkundea",,,226
Antonio de Ulloa,Antonio de Ulloa,España,http://commons.wikimedia.org/wiki/Special:FilePath/Almirante%20Antonio%20de%20Ulloa.jpg,Sevilla,+1716-01-12T00:00:00Z,+1795-07-05T00:00:00Z,,,,,62348
Antonio de Viana,Antonio de Viana,España,http://commons.wikimedia.org/wiki/Special:FilePath/Antonio%20de%20Viana%2001.jpg,San Cristóbal de La Laguna,+1578-01-01T00:00:00Z,+1650-01-01T00:00:00Z,"Poesía",,,,19148
Antonio de Zamora,Antonio de Zamora,España,http://commons.wikimedia.org/wiki/Special:FilePath/Francisco%20de%20Goya%2C%20The%20Bewitched%20Man.JPG,Madrid,+1660-11-01T00:00:00Z,+1727-12-07T00:00:00Z,,,,,2645
Antón de Marirreguera,Antón de Marirreguera,España,http://commons.wikimedia.org/wiki/Special:FilePath/Marirreguera.jpg,Carreño,+1605-01-01T00:00:00Z,+1660-01-01T00:00:00Z,,,,,37914
Apeles Mestres,Apeles Mestres,España,http://commons.wikimedia.org/wiki/Special:FilePath/Napoleon-Apel%C2%B7lesMestres-1884.jpg,Barcelona,+1854-10-29T00:00:00Z,+1936-07-19T00:00:00Z,,,"Liliana","Mestre en Gay Saber, caballero de la Legión de Honor",6564
Araceli Herrero Figueroa,Araceli Herrero Figueroa,España,http://commons.wikimedia.org/wiki/Special:FilePath/Araceli%20Herrero%20Figueroa%20%28AELG%29-3.jpg,Lugo,+1948-06-22T00:00:00Z,+2020-06-10T00:00:00Z,,,,,10673
Arcipreste de Hita,Arcipreste de Hita,Corona de Castilla,http://commons.wikimedia.org/wiki/Special:FilePath/Lba-codice.jpg,Alcalá de Henares,+1283-01-01T00:00:00Z,+1350-01-01T00:00:00Z,"Poesía",,"Libro de buen amor",,65008
Armando Cotarelo Valledor,Armando Cotarelo Valledor,España,http://commons.wikimedia.org/wiki/Special:FilePath/Armando%20Cotarelo%20Valledor%201920.jpg,Vegadeo,+1879-12-28T00:00:00Z,+1950-12-08T00:00:00Z,,,,,16058
Armando Palacio Valdés,Armando Palacio Valdés,España,http://commons.wikimedia.org/wiki/Special:FilePath/Armando%20Palacio%20Vald%C3%A9s%2C%20de%20Compa%C3%B1y%2C%20en%20Mundo%20Gr%C3%A1fico.jpg,Entralgo,+1853-01-01T00:00:00Z,+1938-01-01T00:00:00Z,"Novela","Realismo literario",,,292
Arnold Bennett,Arnold Bennett,Reino Unido,http://commons.wikimedia.org/wiki/Special:FilePath/Arnold%20Bennett%20-%20Project%20Gutenberg%20etext%2013635.jpg,Burslem,+1867-05-27T00:00:00Z,+1931-03-27T00:00:00Z,,,,"Premio James Tait Black",43362
Arthur Koestler,Arthur Koestler,Reino Unido,http://commons.wikimedia.org/wiki/Special:FilePath/Arthur%20Koestler%20%281969%29.jpg,Budapest,+1905-09-05T00:00:00Z,+1983-03-01T00:00:00Z,,,"El cero y el infinito","Premio Sonning, Comendador de la Orden del Imperio británico",11008
Arthur Miller,Arthur Miller,Estados Unidos,http://commons.wikimedia.org/wiki/Special:FilePath/Arthur-miller.jpg,Nueva York,+1915-10-17T00:00:00Z,+2005-02-10T00:00:00Z,,"Realismo literario, InterNacionalismo","Después de la caída, Todos eran mis hijos, Panorama desde el puente, Muerte de un viajante, Las brujas de Salem","Anexo:Primetime Emmy al mejor guion - Miniserie, telefilme o especial dramático, premio literario de la Universidad de San Luis, doctor honoris causa por la Universidad Complutense de Madrid, Praemium Imperiale, Premio Jerusalén, Premio Pulitzer de Teatro, Premio Kennedy Center Honors, Premio Tony a la mejor obra, Premio Princesa de Asturias de las Letras",7739
Arturo Azuela,Arturo Azuela,México,http://commons.wikimedia.org/wiki/Special:FilePath/Arturo%20Azuela.jpg,Ciudad de México,+1938-06-30T00:00:00Z,+2012-06-07T00:00:00Z,,,,"Premio Xavier Villaurrutia",33737
Arturo Reyes,Arturo Reyes,España,http://commons.wikimedia.org/wiki/Special:FilePath/Arturo%20Reyes%2C%20de%20Compa%C3%B1y.jpg,Málaga,+1864-09-29T00:00:00Z,+1913-06-17T00:00:00Z,"Poesía",,,"Premio Fastenrath",598
Arturo Uslar Pietri,Arturo Uslar Pietri,Venezuela,http://commons.wikimedia.org/wiki/Special:FilePath/Uslar%20Pietri.jpg,Caracas,+1907-05-17T00:00:00Z,+2001-02-26T00:00:00Z,,,,"Premio María Moors Cabot, Orden Mexicana del Águila Azteca, Premio Rómulo Gallegos, Orden del Libertador, Orden de Boyacá, Premio Princesa de Asturias de las Letras, Premio Internacional Alfonso Reyes, Premio Nacional de Literatura de Venezuela, Gran Cruz de la Legión de Honor, Gran Cruz de la Orden de Isabel la Católica, Gran Cruz de la Orden Civil de Alfonso X el Sabio, Orden del Cóndor de los Andes",4044
Arturo Vázquez Núñez,Arturo Vázquez Núñez,España,http://commons.wikimedia.org/wiki/Special:FilePath/Arturovazqueznu%C3%B1ez%201.jpg,Orense,+1852-11-15T00:00:00Z,+1907-03-02T00:00:00Z,,,,,13200
August Pi i Sunyer,August Pi i Sunyer,España,http://commons.wikimedia.org/wiki/Special:FilePath/August%20Pi%20Sunyer%205803.JPG,Barcelona,+1879-08-12T00:00:00Z,+1965-01-12T00:00:00Z,,,,"Premio Kalinga",40059
August Wilhelm von Schlegel,August Wilhelm von Schlegel,Alemania,http://commons.wikimedia.org/wiki/Special:FilePath/August%20Wilhelm%20von%20Schlegel.png,Hannover,+1767-09-01T00:00:00Z,+1845-05-12T00:00:00Z,,,,"Orden del Mérito de las Ciencias y las Artes",1805
Augustine Birrell,Augustine Birrell,Reino Unido,http://commons.wikimedia.org/wiki/Special:FilePath/Augustine%20Birrell.jpg,Wavertree,+1850-01-19T00:00:00Z,+1933-11-20T00:00:00Z,,,,,78874
Augusto Ferrán,Augusto Ferrán,España,http://commons.wikimedia.org/wiki/Special:FilePath/Augusto-Ferran-y-Fornies-1835-1880.jpg,Madrid,+1835-07-07T00:00:00Z,+1880-04-02T00:00:00Z,"Poesía","Romanticismo",,,270
Augusto Roa Bastos,Augusto Roa Bastos,España,http://commons.wikimedia.org/wiki/Special:FilePath/Escritor%20Augusto%20R.%20Bastos.jpg,Asunción,+1917-06-13T00:00:00Z,+2005-04-26T00:00:00Z,"Poesía, Novela del dictador",,"Yo el Supremo, Hijo de hombre","Premio Miguel de Cervantes, premio Kurt Tucholsky, comendador de las Artes y las Letras",3257
Augusto d'Halmar,Augusto d'Halmar,Chile,http://commons.wikimedia.org/wiki/Special:FilePath/Retrato%20de%20Augusto%20d%27Halmar.jpg,Santiago,+1880-01-01T00:00:00Z,+1950-01-27T00:00:00Z,,"Naturalismo, Realismo",,"Premio Nacional de Literatura, Premio Atenea",10266
Aureliano Fernández-Guerra,Aureliano Fernández-Guerra,España,http://commons.wikimedia.org/wiki/Special:FilePath/Aureliano%20Fern%C3%A1ndez%20Guerra%20y%20Orbe%20-%20spanischer%20Historiker.png,Granada,+1816-06-16T00:00:00Z,+1894-09-07T00:00:00Z,"Poesía",,,,7083
Aureliano de Beruete y Moret,Aureliano de Beruete y Moret,España,http://commons.wikimedia.org/wiki/Special:FilePath/Aureliano%20de%20Beruete%2C%20de%20Kaulak.jpg,Madrid,+1876-01-01T00:00:00Z,+1922-01-01T00:00:00Z,,,,,31363
Aurelio Espinosa Pólit,Aurelio Espinosa Pólit,Ecuador,http://commons.wikimedia.org/wiki/Special:FilePath/Busto%20aurelio%20espinoza%20polit.jpg,Quito,+1894-07-11T00:00:00Z,+1961-02-21T00:00:00Z,,,,,6661
Aurora de Albornoz,Aurora de Albornoz,España,http://commons.wikimedia.org/wiki/Special:FilePath/Aurora%20de%20Albornoz.jpg,Luarca,+1926-01-22T00:00:00Z,+1990-06-06T00:00:00Z,"Poesía",,,,15230
Ausiàs March,Ausiàs March,Corona de Aragón,http://commons.wikimedia.org/wiki/Special:FilePath/Est%C3%A0tua%20d%27Ausi%C3%A0s%20March%20a%20Gandia%20crop.JPG,Gandía,+1400-01-01T00:00:00Z,+1459-03-12T00:00:00Z,"Poesía",,,,66834
Azorín,Azorín,España,http://commons.wikimedia.org/wiki/Special:FilePath/Azor%C3%ADn.png,Monóvar,+1873-06-08T00:00:00Z,+1967-03-02T00:00:00Z,"Novela, Drama, Ensayo","Generación del 98",,"Gran Cruz de la Orden de Isabel la Católica, Gran Cruz de la Orden de Carlos III, Gran Cruz de la Orden Civil de Alfonso X el Sabio, Hijo Adoptivo de Alicante",2944
Aída Cartagena Portalatín,Aída Cartagena Portalatín,Dominica,http://commons.wikimedia.org/wiki/Special:FilePath/A%C3%ADda%20Cartagena%20Portalat%C3%ADn.jpg,Moca,+1918-06-18T00:00:00Z,+1994-06-03T00:00:00Z,,,,,91829
Balbino Velasco Bayón,Balbino Velasco Bayón,España,http://commons.wikimedia.org/wiki/Special:FilePath/P.%20BALBINO%20VELASCO%20BAY%C3%93N.JPG,Lovingos,+1926-01-01T00:00:00Z,+2013-11-03T00:00:00Z,,,,,2897
Baldomero Argente,Baldomero Argente,España,http://commons.wikimedia.org/wiki/Special:FilePath/Art%C3%ADculos%20de%20primera%20necesidad%2C%20de%20Tovar%2C%20Heraldo%20de%20Madrid%2C%2018%20de%20febrero%20de%201919.jpg,Jérez del Marquesado,+1877-02-06T00:00:00Z,+1965-09-28T00:00:00Z,,,,,1473
Baldomero Fernández Moreno,Baldomero Fernández Moreno,Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/BaldomeroFMoreno.jpg,La Paternal,+1886-09-15T00:00:00Z,+1950-06-07T00:00:00Z,"Poesía",,,,13058
Baldomero Lillo,Baldomero Lillo,Chile,http://commons.wikimedia.org/wiki/Special:FilePath/Baldomero%20Lillo.jpeg,Lota,+1866-01-06T00:00:00Z,+1923-09-10T00:00:00Z,,,,,5460
Baldomero Sanín Cano,Baldomero Sanín Cano,Colombia,http://commons.wikimedia.org/wiki/Special:FilePath/San%C3%ADn%20Cano%2C%20de%20Sancha%2C%20Nuevo%20Mundo%2C%2008-10-1920%20%28cropped%29.jpg,Rionegro,+1861-06-27T00:00:00Z,+1957-05-12T00:00:00Z,,,,,10236
Baltasar Gracián,Baltasar Gracián,España,http://commons.wikimedia.org/wiki/Special:FilePath/Graci%C3%A1n%20Graus%20%28detalle%29.jpg,Belmonte de Gracián,+1601-01-08T00:00:00Z,+1658-12-06T00:00:00Z,,,,,49
Baltasar del Alcázar,Baltasar del Alcázar,España,http://commons.wikimedia.org/wiki/Special:FilePath/Retrato%20de%20Baltasar%20del%20Alc%C3%A1zar%20por%20Pacheco.jpg,Sevilla,+1530-01-01T00:00:00Z,+1606-01-16T00:00:00Z,"Poesía",,,,2797
Bartolomé Bennassar,Bartolomé Bennassar,Francia,http://commons.wikimedia.org/wiki/Special:FilePath/Bartolom%C3%A9o-Bennassar.jpg,Nimes,+1929-04-08T00:00:00Z,+2018-11-08T00:00:00Z,,,,"Grand Prix Gobert, Gran Cruz de la Orden Civil de Alfonso X el Sabio, doctor honoris causa por la Universidad de Valladolid",6407
Bartolomé Leonardo de Argensola,Bartolomé Leonardo de Argensola,Reino de Aragón,http://commons.wikimedia.org/wiki/Special:FilePath/Bartolom%C3%A9%20Leonardo%20de%20Argensola%20%28Diputaci%C3%B3n%20Provincial%20de%20Zaragoza%29.jpg,Barbastro,+1562-08-26T00:00:00Z,+1631-02-04T00:00:00Z,"Poesía",,,,264
Bartolomé de las Casas Gómez Pérez,Bartolomé de las Casas Gómez Pérez,España,http://commons.wikimedia.org/wiki/Special:FilePath/Fray%20Bartolom%C3%A9%20de%20las%20Casas.jpg,Sevilla,+1474-09-02T00:00:00Z,+1566-07-28T00:00:00Z,,,,,311
Basilio Ponce de León,Basilio Ponce de León,España,http://commons.wikimedia.org/wiki/Special:FilePath/Basilio%20Ponce%20de%20Le%C3%B3n%20%281604%29%20De%20agno%20typico%20liber%20unus.png,Granada,+1570-01-01T00:00:00Z,+1629-01-01T00:00:00Z,,,,,62953
Basilio Sebastián Castellanos de Losada,Basilio Sebastián Castellanos de Losada,España,http://commons.wikimedia.org/wiki/Special:FilePath/Museo%20Arqueol%C3%B3gico%20Nacional%20-%20Basilio%20Sebasti%C3%A1n%20Castellanos%20de%20Losada.jpg,Madrid,+1807-01-01T00:00:00Z,+1891-06-06T00:00:00Z,,,,,72189
Bayard Taylor,Bayard Taylor,Estados Unidos,http://commons.wikimedia.org/wiki/Special:FilePath/Bayard%20Taylor.jpg,Kennett Square,+1825-01-11T00:00:00Z,+1878-12-19T00:00:00Z,,,,,747
Benito Jerónimo Feijoo,Benito Jerónimo Feijoo,España,http://commons.wikimedia.org/wiki/Special:FilePath/Benito%20Jer%C3%B3nimo%20Feijoo.jpg,Casdemiro,+1677-10-08T00:00:00Z,+1764-09-26T00:00:00Z,,"Ilustración, Ilustración en España","Cartas eruditas y curiosas, Teatro crítico universal",,21
Benito Lynch,Benito Lynch,Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/Benito%20Lynch.jpg,Buenos Aires,+1885-07-25T00:00:00Z,+1951-12-23T00:00:00Z,,,,,13056
Benito Más y Prat,Benito Más y Prat,España,http://commons.wikimedia.org/wiki/Special:FilePath/Mas%20y%20Prat.jpg,Écija,+1846-10-07T00:00:00Z,+1892-10-21T00:00:00Z,"Poesía",,,,579
Benito Pérez Galdós,Benito Pérez Galdós,España,http://commons.wikimedia.org/wiki/Special:FilePath/Photo%20of%20Benito%20P%C3%A9rez%20Gald%C3%B3s.jpg,Las Palmas de Gran Canaria,+1843-01-01T00:00:00Z,+1920-01-04T00:00:00Z,"Novela, Teatro, Dramaturgia","Realismo literario",,"Gran Cruz de la Orden Civil de Alfonso XII, Hijo Predilecto de la Isla de Gran Canaria",18
Benito Vicetto,Benito Vicetto,España,http://commons.wikimedia.org/wiki/Special:FilePath/Benito%20Vicetto.jpg,Ferrol,+1824-05-21T00:00:00Z,+1878-05-28T00:00:00Z,"Poesía",,,,92828
Benjamín Carrión,Benjamín Carrión,Ecuador,http://commons.wikimedia.org/wiki/Special:FilePath/Estatua%20de%20Benjam%C3%ADn%20Carri%C3%B3n%20jugando%20ajedrez%20%28cropped%29.JPG,Loja,+1898-04-20T00:00:00Z,+1979-03-06T00:00:00Z,"Ensayo",,,"Premio Eugenio Espejo",3255
Benjamín Fernández y Medina,Benjamín Fernández y Medina,Uruguay,http://commons.wikimedia.org/wiki/Special:FilePath/Montevideocomicoa2n16%20BenjaminFernandesyMedina.jpg,Montevideo,+1873-03-31T00:00:00Z,+1960-07-28T00:00:00Z,"Ensayo, Narrativa",,,"Gran Cruz de la Orden de Isabel la Católica",35987
